Rank, Title, Price, Tags
1,Cyberpunk 2077,P2.599.00,Cyberpunk. Open World. RPG. Futuristic
2,Counter-Strike: Global Offensive - Operation Broken Fang,P750.00,Action. Free to Play. FPS. Multiplayer
3,Stardew Valley,P281.36,Farming Sim. Life Sim. RPG. Pixel Graphics
4,DEATH STRANDING,P1.499.50,Walking Simulator. Open World. Story Rich. Great Soundtrack
5,Phasmophobia,P379.95,Horror. Online Co-Op. Multiplayer. Psychological Horror
6,Borderlands 3,P791.67,RPG. Action. Looter Shooter. Online Co-Op
7,PLAYERUNKNOWN'S BATTLEGROUNDS,P759.95,Survival. Shooter. Multiplayer. Battle Royale
8,Raft,P499.95,Survival. Open World Survival Craft. Multiplayer. Co-op
9,Mount & Blade II: Bannerlord,P1.439.96,Medieval. Strategy. Open World. RPG
10,Hades,P549.95,Action Roguelike. Action. Indie. RPG
11,Oxygen Not Included,P274.97,Colony Sim. Base Building. Survival. Resource Management
12,Borderlands 3: Super Deluxe Edition,P1.599.50,RPG. Action. Looter Shooter. Gore
13,Football Manager 2021,P1.699.95,Sports. Simulation. Management. Singleplayer
14,Grand Theft Auto V,P999.00,Open World. Action. Multiplayer. Automobile Sim
15,Among Us,P159.95,Multiplayer. Online Co-Op. Space. Social Deduction
16,Wallpaper Engine,P135.95,Utilities. Mature. Software. Anime
17,Resident Evil 3,P986.37,Action. Zombies. Horror. Multiplayer
18,STAR WARS™: The Old Republic™ - Cartel Coins,P140.00,Massively Multiplayer. MMORPG
19,STAR WARS™: The Old Republic™ - Cartel Coins,P140.00,Massively Multiplayer. MMORPG
20,STAR WARS™: The Old Republic™ - Cartel Coins,P140.00,Massively Multiplayer. MMORPG
21,STAR WARS™: The Old Republic™ - Cartel Coins,P140.00,Massively Multiplayer. MMORPG
22,STAR WARS™: The Old Republic™ - Cartel Coins,P140.00,Massively Multiplayer. MMORPG
23,Outward,P389.70,RPG. Open World. Survival. Co-op
24,The Forest,P449.95,Open World Survival Craft. Survival. Open World. Horror
25,Rust,P829.95,Survival. Crafting. Multiplayer. Open World
26,Gears 5,P207.48,Action. Adventure. Multiplayer. Third-Person Shooter
27,Baldur's Gate 3,P2.599.00,Early Access. RPG. Dungeons & Dragons. Choices Matter
28,Outward : The Adventurer Bundle,P950.31,RPG. Co-op. Open World. Nudity
29,Fall Guys: Ultimate Knockout,P449.95,Multiplayer. Funny. Battle Royale. Online Co-Op
30,Don't Starve Together,P132.58,Survival. Open World Survival Craft. Multiplayer. Co-op
